iter	Logloss
0	0.6769707649
1	0.6616751306
2	0.6466443332
3	0.6331956263
4	0.6208002037
5	0.6089183973
6	0.5954711432
7	0.5841288316
8	0.5744657614
9	0.5644158096
10	0.5568517188
11	0.5489935192
12	0.5411984227
13	0.5336447504
14	0.5262939055
15	0.5175946888
16	0.5108967329
17	0.5005394434
18	0.4935848783
19	0.4875985105
20	0.4822406202
21	0.4775288181
22	0.4734350993
23	0.4673620007
24	0.4628580674
25	0.4594230348
26	0.4553722711
27	0.4523108364
28	0.4491316941
29	0.4464878229
30	0.4402785958
31	0.4360144477
32	0.4310525504
33	0.4280936077
34	0.425505966
35	0.4203485044
36	0.4181757963
37	0.4163004379
38	0.4144635166
39	0.4120925077
40	0.4091825715
41	0.4071446335
42	0.4055870111
43	0.4040654452
44	0.4021706794
45	0.4008324421
46	0.3976150787
47	0.3962262335
48	0.3944831544
49	0.393255647
50	0.3903349423
51	0.3891352152
52	0.3875829592
53	0.3863230561
54	0.3841844809
55	0.3831045628
56	0.3818665743
57	0.3795566039
58	0.3786104403
59	0.375728584
60	0.3746143558
61	0.3738192158
62	0.3727925498
63	0.3717928727
64	0.3707846193
65	0.3693506878
66	0.3685862653
67	0.3670459707
68	0.366331887
69	0.3655811516
70	0.3648368839
71	0.3635768685
72	0.3616098293
73	0.3607217252
74	0.3594295058
75	0.3589316004
76	0.3572191397
77	0.3565923272
78	0.356080758
79	0.3555700376
80	0.354964079
81	0.3540126796
82	0.3534085811
83	0.3529885648
84	0.3523744688
85	0.3518503471
86	0.3513964511
87	0.350996231
88	0.3505162163
89	0.3499547792
90	0.3495909197
91	0.3486196007
92	0.3477376618
93	0.3473941968
94	0.3468611207
95	0.3464052554
96	0.3459364413
97	0.3455579033
98	0.3448673098
99	0.3440941391
100	0.3433096566
101	0.342554318
102	0.3421412966
103	0.3417104496
104	0.3412603727
105	0.340835113
106	0.34054189
107	0.3402512839
108	0.3398619744
109	0.339530505
110	0.3392305687
111	0.3388540688
112	0.338532519
113	0.3377744634
114	0.3374065786
115	0.3370329713
116	0.3366928251
117	0.3364220453
118	0.336090123
119	0.3355355499
120	0.3353375826
121	0.335050957
122	0.3349488072
123	0.3346683725
124	0.3342145925
125	0.3338514422
126	0.3334629561
127	0.3328246852
128	0.3325308876
129	0.3322045036
130	0.3319111725
131	0.3316278617
132	0.3313280977
133	0.3310450398
134	0.3307512684
135	0.3304933893
136	0.3302659857
137	0.3299139976
138	0.3287641329
139	0.3284133979
140	0.3282309372
141	0.3280628713
142	0.3277795262
143	0.3275654274
144	0.3264049208
145	0.3257924162
146	0.3255669887
147	0.3253752158
148	0.3250307509
149	0.3248987083
150	0.3246395609
151	0.3243589542
152	0.3237582859
153	0.32344223
154	0.3231499988
155	0.3228808135
156	0.3226250171
157	0.3221446605
158	0.3219466658
159	0.3217219603
160	0.321409123
161	0.3212199927
162	0.3210457068
163	0.3207980089
164	0.3204861889
165	0.3202763882
166	0.3201015357
167	0.3199375123
168	0.319743317
169	0.319553671
170	0.3192778723
171	0.3191294469
172	0.3188682412
173	0.3187365624
174	0.3183879777
175	0.318107102
176	0.3179353987
177	0.317470658
178	0.3172761779
179	0.316492302
180	0.3162730756
181	0.3160862102
182	0.3158477839
183	0.3156096909
184	0.3153823373
185	0.3151089498
186	0.3148975993
187	0.3147436815
188	0.313996944
189	0.3138779607
190	0.3137206873
191	0.3135371637
192	0.3133011299
193	0.3131357277
194	0.3128950312
195	0.312656425
196	0.312533854
197	0.3122757539
198	0.3121201819
199	0.3119127489
200	0.3117211308
201	0.311462551
202	0.3113551749
203	0.3112107626
204	0.311002569
205	0.3108832128
206	0.3107154788
207	0.3103643707
208	0.3101328156
209	0.3099601966
210	0.3098435784
211	0.3096351659
212	0.3094905631
213	0.3092902771
214	0.309150722
215	0.3091390201
216	0.3089247969
217	0.3086523799
218	0.308514028
219	0.308403163
220	0.3081485584
221	0.3079704898
222	0.3078521069
223	0.3075680407
224	0.3074584871
225	0.3073424057
226	0.3071602141
227	0.3070110794
228	0.3067957804
229	0.3064813715
230	0.3062906603
231	0.30602722
232	0.3058633812
233	0.3057056753
234	0.305488736
235	0.305324367
236	0.305116434
237	0.3049839194
238	0.3048544371
239	0.3045564252
240	0.304257694
241	0.3041624413
242	0.3040260997
243	0.3039438226
244	0.3037929326
245	0.3036352325
246	0.3034688863
247	0.3033811634
248	0.3032421039
249	0.3030882428
250	0.3029355255
251	0.3027596606
252	0.3025356968
253	0.3024109395
254	0.3022901921
255	0.3021717083
256	0.302000172
257	0.3018660948
258	0.301736416
259	0.3016095357
260	0.3014801802
261	0.3013762145
262	0.301161242
263	0.3009466412
264	0.3007202073
265	0.3006404698
266	0.3004759947
267	0.3002407786
268	0.3000459572
269	0.2998365487
270	0.2996105866
271	0.2994489664
272	0.2992947564
273	0.2991897838
274	0.2990262334
275	0.2989073626
276	0.2987980259
277	0.298610809
278	0.2984186394
279	0.2982867349
280	0.2981691421
281	0.2980455829
282	0.2978324653
283	0.2977503474
284	0.2975347518
285	0.2973561036
286	0.2972034462
287	0.2969452661
288	0.2968935936
289	0.2968482702
290	0.2966665892
291	0.2963834504
292	0.29626959
293	0.2960295725
294	0.2959528127
295	0.2957800537
296	0.2956310875
297	0.2955479885
298	0.2953883357
299	0.2952058928
300	0.2950946668
301	0.294941198
302	0.294842718
303	0.2947810482
304	0.2946886632
305	0.2945916918
306	0.2945066437
307	0.2943700139
308	0.2942375303
309	0.2940598726
310	0.2938727092
311	0.2936832508
312	0.2934483859
313	0.2933511954
314	0.2932288795
315	0.2930562971
316	0.2929037875
317	0.292800159
318	0.2926616058
319	0.292465687
320	0.2923610209
321	0.2921769568
322	0.292051091
323	0.2917940765
324	0.2917399561
325	0.2916340095
326	0.291534922
327	0.2914457531
328	0.2913315272
329	0.2911620807
330	0.2910569283
331	0.2908511294
332	0.290677118
333	0.2904917159
334	0.2903341091
335	0.2902483733
336	0.2900956102
337	0.2899532041
338	0.2898569956
339	0.2896725234
340	0.2895893324
341	0.289442133
342	0.2893819473
343	0.2893143685
344	0.289148707
345	0.2890518996
346	0.2888430453
347	0.28869432
348	0.2885073772
349	0.2883654763
350	0.2882257795
351	0.288046656
352	0.2879412517
353	0.2877726575
354	0.2876487417
355	0.287493971
356	0.2873478879
357	0.2871964825
358	0.2870619817
359	0.2869426535
360	0.2868055969
361	0.2866714922
362	0.2865216994
363	0.2864075041
364	0.2862428437
365	0.286035422
366	0.2859430326
367	0.2857733016
368	0.2856075608
369	0.2854229383
370	0.285303904
371	0.2852110264
372	0.2850349424
373	0.2848780281
374	0.2848028753
375	0.2847039503
376	0.2846143415
377	0.2845020592
378	0.2844116782
379	0.284270851
380	0.2841372353
381	0.2840182793
382	0.2838268325
383	0.2836952065
384	0.2834817109
385	0.2833645924
386	0.2832719039
387	0.2831248374
388	0.2829822643
389	0.2828934572
390	0.2828445498
391	0.2827589722
392	0.2825970276
393	0.2824793632
394	0.2823316539
395	0.2821967546
396	0.2820951848
397	0.2819519127
398	0.2817705049
399	0.2817010229
400	0.281536859
401	0.2814129392
402	0.2813219779
403	0.2812324941
404	0.2811497583
405	0.2810588665
406	0.2809127567
407	0.2805261699
408	0.2804460393
409	0.2803346781
410	0.2799820579
411	0.279867994
412	0.2797598077
413	0.2796332434
414	0.2795370123
415	0.2793629509
416	0.2792580081
417	0.2791394031
418	0.2789917045
419	0.2788063478
420	0.2786787505
421	0.2785523369
422	0.2784154377
423	0.2782484511
424	0.2781879371
425	0.2780356663
426	0.2779005608
427	0.2777717462
428	0.2775922204
429	0.2774728805
430	0.277402334
431	0.2773108974
432	0.277140522
433	0.2770245419
434	0.2769652398
435	0.276711392
436	0.2765615834
437	0.276450443
438	0.2763505881
439	0.2762127784
440	0.2760108393
441	0.2759214969
442	0.2758594725
443	0.275743846
444	0.2756514326
445	0.2755040134
446	0.2753705507
447	0.2750511256
448	0.2748812081
449	0.2747358073
450	0.2746292793
451	0.2745114518
452	0.2743561555
453	0.2742791565
454	0.2741868324
455	0.2740661591
456	0.2739792931
457	0.2738402437
458	0.273696274
459	0.2735742961
460	0.2734568814
461	0.2733773814
462	0.2732456562
463	0.273078911
464	0.2730067377
465	0.2728894765
466	0.2727589454
467	0.2726165071
468	0.2725617812
469	0.2724344761
470	0.2723292138
471	0.2722062788
472	0.2721416686
473	0.2720392036
474	0.2719209428
475	0.2717865329
476	0.2717011436
477	0.2715897196
478	0.2714879262
479	0.2713723354
480	0.2713202688
481	0.2711678365
482	0.2710071058
483	0.2708889861
484	0.2707822698
485	0.2705855543
486	0.2705355947
487	0.2703460995
488	0.2702257841
489	0.2701268769
490	0.2700175824
491	0.2699709841
492	0.269887027
493	0.2698234479
494	0.2695131877
495	0.269378835
496	0.2693178394
497	0.2692399912
498	0.2691335582
499	0.2689297654
500	0.2688927025
501	0.2687956224
502	0.2686666833
503	0.2685559083
504	0.268433936
505	0.2683337959
506	0.268217631
507	0.2681306482
508	0.2680286263
509	0.2679819868
510	0.2678533589
511	0.2678073798
512	0.2676323284
513	0.2675124896
514	0.2673361776
515	0.2672257788
516	0.2670476305
517	0.2669531134
518	0.2668675073
519	0.2667500277
520	0.2665882802
521	0.2665126379
522	0.2664685956
523	0.2663584423
524	0.2663151937
525	0.2662133102
526	0.2661066638
527	0.2658256329
528	0.265690693
529	0.2655180607
530	0.2653486388
531	0.26521173
532	0.2651700463
533	0.2651109005
534	0.2649551084
535	0.2648396272
536	0.2646918944
537	0.2645799704
538	0.2644892698
539	0.2643674059
540	0.2643104273
541	0.2642057007
542	0.2640936951
543	0.2640292396
544	0.2639476122
545	0.2638297654
546	0.2636913721
