iter	Passed	Remaining
0	140	140779
1	147	73433
2	153	50936
3	159	39697
4	164	32833
5	170	28323
6	176	25029
7	181	22557
8	187	20687
9	193	19136
10	198	17887
11	203	16791
12	209	15899
13	214	15135
14	220	14480
15	225	13878
16	230	13353
17	236	12883
18	241	12488
19	248	12165
20	254	11849
21	259	11546
22	265	11264
23	270	11009
24	275	10755
25	280	10521
26	285	10302
27	290	10094
28	296	9916
29	301	9757
30	307	9609
31	312	9465
32	318	9328
33	323	9181
34	329	9072
35	334	8953
36	339	8828
37	344	8728
38	350	8632
39	355	8536
40	361	8450
41	367	8382
42	373	8303
43	378	8213
44	383	8140
45	388	8058
46	393	7980
47	398	7908
48	403	7832
49	411	7819
50	417	7771
51	423	7712
52	428	7664
53	434	7615
54	440	7562
55	445	7513
56	451	7462
57	456	7409
58	461	7357
59	466	7311
60	472	7270
61	477	7226
62	483	7184
63	488	7143
64	493	7099
65	499	7066
66	506	7056
67	512	7030
68	518	6991
69	523	6953
70	528	6914
71	533	6878
72	538	6844
73	543	6806
74	548	6770
75	553	6734
76	558	6698
77	563	6662
78	568	6632
79	573	6600
80	579	6573
81	584	6542
82	589	6513
83	594	6481
84	600	6465
85	605	6432
86	609	6400
87	614	6367
88	619	6338
89	623	6308
90	628	6279
91	633	6249
92	637	6220
93	642	6193
94	647	6168
95	652	6144
96	657	6121
97	664	6114
98	670	6100
99	676	6085
100	680	6060
101	685	6038
102	690	6012
103	695	5988
104	699	5966
105	705	5946
106	710	5929
107	715	5910
108	720	5887
109	725	5868
110	730	5847
111	735	5830
112	740	5812
113	745	5790
114	749	5771
115	754	5753
116	759	5735
117	765	5724
118	771	5709
119	775	5688
120	781	5673
121	786	5660
122	790	5637
123	795	5618
124	800	5604
125	805	5588
126	811	5575
127	816	5562
128	822	5550
129	826	5533
130	832	5519
131	837	5506
132	842	5489
133	847	5476
134	852	5461
135	857	5448
136	862	5434
137	868	5422
138	872	5405
139	877	5390
140	882	5374
141	887	5361
142	892	5349
143	897	5334
144	902	5320
145	907	5307
146	912	5293
147	917	5279
148	922	5267
149	927	5254
150	932	5241
151	937	5230
152	942	5216
153	947	5207
154	953	5196
155	958	5186
156	964	5177
157	969	5164
158	974	5153
159	979	5139
160	983	5125
161	988	5113
162	993	5100
163	998	5088
164	1002	5074
165	1007	5062
166	1012	5051
167	1017	5040
168	1023	5032
169	1028	5022
170	1033	5010
171	1038	4999
172	1043	4988
173	1048	4977
174	1053	4968
175	1058	4956
176	1064	4948
177	1068	4934
178	1073	4923
179	1079	4915
180	1084	4906
181	1089	4896
182	1094	4887
183	1099	4876
184	1104	4867
185	1109	4857
186	1115	4847
187	1120	4840
188	1126	4831
189	1131	4822
190	1136	4812
191	1141	4804
192	1146	4794
193	1151	4785
194	1156	4774
195	1161	4765
196	1166	4753
197	1171	4744
198	1176	4735
199	1181	4724
200	1186	4714
201	1191	4706
202	1196	4697
203	1202	4691
204	1208	4684
205	1213	4678
206	1222	4682
207	1226	4671
208	1231	4659
209	1235	4649
210	1240	4639
211	1245	4628
212	1251	4625
213	1256	4616
214	1261	4606
215	1264	4589
216	1268	4578
217	1273	4568
218	1278	4559
219	1283	4549
220	1288	4543
221	1294	4536
222	1300	4531
223	1305	4520
224	1309	4511
225	1314	4502
226	1319	4493
227	1324	4484
228	1329	4475
229	1333	4464
230	1338	4454
231	1343	4447
232	1348	4437
233	1352	4427
234	1357	4418
235	1362	4410
236	1367	4402
237	1373	4396
238	1378	4389
239	1383	4381
240	1388	4373
241	1393	4363
242	1397	4354
243	1404	4350
244	1408	4341
245	1413	4332
246	1418	4322
247	1422	4314
248	1427	4304
249	1431	4295
250	1437	4288
251	1441	4278
252	1446	4271
253	1452	4265
254	1457	4257
255	1462	4250
256	1467	4242
257	1472	4234
258	1477	4227
259	1482	4219
260	1487	4213
261	1493	4205
262	1497	4196
263	1502	4189
264	1507	4182
265	1512	4174
266	1517	4165
267	1522	4157
268	1526	4148
269	1531	4139
270	1535	4131
271	1540	4124
272	1545	4115
273	1550	4107
274	1554	4098
275	1559	4090
276	1564	4083
277	1569	4076
278	1575	4071
279	1581	4065
280	1586	4058
281	1591	4051
282	1595	4043
283	1601	4036
284	1606	4029
285	1610	4021
286	1616	4015
287	1621	4009
288	1626	4002
289	1631	3993
290	1636	3986
291	1640	3978
292	1646	3972
293	1651	3965
294	1656	3958
295	1660	3949
296	1666	3943
297	1671	3938
298	1676	3931
299	1681	3923
300	1686	3916
301	1691	3908
302	1696	3901
303	1700	3893
304	1705	3887
305	1711	3881
306	1716	3874
307	1721	3867
308	1727	3862
309	1731	3854
310	1737	3848
311	1742	3841
312	1747	3834
313	1752	3827
314	1757	3821
315	1762	3814
316	1767	3808
317	1772	3800
318	1778	3795
319	1783	3789
320	1788	3783
321	1793	3777
322	1799	3771
323	1804	3764
324	1808	3756
325	1813	3748
326	1817	3741
327	1822	3733
328	1826	3725
329	1834	3723
330	1838	3716
331	1843	3709
332	1848	3702
333	1853	3696
334	1859	3690
335	1864	3684
336	1869	3678
337	1875	3672
338	1880	3667
339	1886	3662
340	1892	3656
341	1897	3650
342	1901	3642
343	1906	3635
344	1911	3629
345	1916	3623
346	1922	3618
347	1928	3613
348	1935	3611
349	1943	3609
350	1950	3606
351	1957	3603
352	1964	3601
353	1972	3600
354	1980	3597
355	1988	3596
356	1995	3594
357	2003	3592
358	2010	3590
359	2018	3587
360	2025	3584
361	2032	3582
362	2039	3578
363	2046	3576
364	2053	3573
365	2062	3572
366	2070	3571
367	2078	3569
368	2086	3568
369	2094	3567
370	2102	3565
371	2110	3562
372	2117	3558
373	2123	3554
374	2128	3548
375	2134	3542
376	2139	3536
377	2144	3528
378	2149	3521
379	2154	3514
380	2159	3507
381	2163	3500
382	2168	3492
383	2173	3486
384	2177	3478
385	2183	3472
386	2188	3466
387	2194	3462
388	2200	3456
389	2205	3449
390	2210	3442
391	2215	3435
392	2219	3428
393	2224	3421
394	2229	3414
395	2233	3407
396	2239	3401
397	2243	3393
398	2248	3387
399	2253	3379
400	2258	3373
401	2262	3366
402	2268	3359
403	2273	3353
404	2277	3346
405	2282	3339
406	2287	3333
407	2291	3325
408	2296	3318
409	2301	3312
410	2306	3305
411	2311	3299
412	2318	3295
413	2323	3289
414	2329	3283
415	2333	3276
416	2338	3269
417	2343	3263
418	2348	3257
419	2354	3250
420	2359	3244
421	2364	3237
422	2369	3231
423	2373	3224
424	2378	3217
425	2382	3210
426	2387	3204
427	2392	3197
428	2397	3190
429	2402	3184
430	2407	3178
431	2412	3172
432	2417	3166
433	2422	3159
434	2427	3153
435	2432	3146
436	2436	3139
437	2441	3133
438	2446	3126
439	2452	3120
440	2456	3113
441	2461	3107
442	2465	3099
443	2470	3093
444	2475	3087
445	2480	3080
446	2484	3074
447	2489	3067
448	2494	3060
449	2499	3055
450	2504	3049
451	2509	3042
452	2515	3036
453	2519	3030
454	2524	3024
455	2529	3017
456	2534	3011
457	2538	3004
458	2543	2997
459	2548	2992
460	2554	2986
461	2558	2979
462	2563	2973
463	2568	2967
464	2573	2960
465	2577	2954
466	2582	2947
467	2587	2940
468	2591	2934
469	2596	2928
470	2601	2921
471	2606	2915
472	2610	2908
473	2615	2902
474	2619	2895
475	2624	2888
476	2628	2882
477	2633	2875
478	2637	2868
479	2642	2862
480	2646	2856
481	2651	2849
482	2656	2843
483	2661	2837
484	2665	2830
485	2670	2824
486	2675	2818
487	2680	2812
488	2684	2805
489	2690	2799
490	2694	2793
491	2699	2786
492	2703	2780
493	2707	2773
494	2712	2767
495	2717	2761
496	2722	2755
497	2727	2749
498	2733	2744
499	2738	2738
500	2742	2731
501	2747	2725
502	2752	2719
503	2756	2713
504	2761	2707
505	2766	2701
506	2771	2694
507	2776	2688
508	2781	2682
509	2786	2676
510	2791	2671
511	2796	2665
512	2801	2659
513	2805	2653
514	2810	2646
515	2814	2640
516	2819	2634
517	2824	2628
518	2830	2622
519	2835	2617
520	2840	2611
521	2845	2605
522	2849	2599
523	2854	2593
524	2859	2587
525	2864	2581
526	2869	2575
527	2873	2569
528	2878	2562
529	2883	2557
530	2888	2550
531	2892	2544
532	2897	2538
533	2901	2532
534	2906	2526
535	2910	2519
536	2915	2514
537	2920	2508
538	2925	2501
539	2930	2496
540	2934	2490
541	2939	2484
542	2944	2478
543	2949	2472
544	2953	2465
545	2958	2459
546	2963	2454
547	2967	2447
548	2972	2442
549	2977	2436
550	2982	2430
551	2988	2425
552	2993	2420
553	2998	2414
554	3003	2408
555	3008	2402
556	3014	2397
557	3018	2391
558	3024	2386
559	3030	2380
560	3036	2375
561	3041	2370
562	3048	2366
563	3054	2361
564	3060	2356
565	3065	2350
566	3070	2345
567	3075	2339
568	3081	2333
569	3086	2328
570	3091	2322
571	3096	2317
572	3102	2311
573	3108	2306
574	3113	2301
575	3118	2295
576	3123	2289
577	3127	2283
578	3133	2278
579	3138	2273
580	3143	2267
581	3149	2261
582	3153	2255
583	3159	2250
584	3167	2247
585	3173	2242
586	3180	2237
587	3185	2232
588	3191	2226
589	3197	2221
590	3203	2216
591	3210	2212
592	3220	2210
593	3229	2207
594	3237	2203
595	3244	2199
596	3250	2194
597	3257	2189
598	3263	2184
599	3269	2179
600	3275	2174
601	3281	2169
602	3286	2163
603	3291	2158
604	3296	2152
605	3302	2147
606	3307	2141
607	3312	2135
608	3317	2130
609	3322	2124
610	3328	2118
611	3333	2113
612	3337	2107
613	3342	2101
614	3347	2095
615	3351	2089
616	3356	2083
617	3361	2077
618	3366	2071
619	3370	2065
620	3375	2060
621	3380	2054
622	3385	2048
623	3390	2043
624	3394	2036
625	3398	2030
626	3402	2024
627	3406	2018
628	3410	2011
629	3415	2006
630	3423	2002
631	3428	1996
632	3434	1991
633	3439	1985
634	3445	1980
635	3450	1974
636	3455	1969
637	3461	1963
638	3466	1958
639	3472	1953
640	3477	1947
641	3482	1941
642	3487	1936
643	3492	1930
644	3497	1924
645	3501	1919
646	3506	1913
647	3510	1907
648	3515	1901
649	3520	1895
650	3524	1889
651	3529	1883
652	3534	1878
653	3539	1872
654	3543	1866
655	3548	1860
656	3553	1855
657	3558	1849
658	3563	1843
659	3567	1837
660	3572	1832
661	3578	1827
662	3583	1821
663	3589	1816
664	3594	1810
665	3599	1805
666	3604	1799
667	3609	1793
668	3614	1788
669	3619	1782
670	3624	1777
671	3630	1771
672	3636	1766
673	3642	1761
674	3647	1756
675	3654	1751
676	3661	1746
677	3669	1742
678	3676	1737
679	3682	1733
680	3688	1727
681	3696	1723
682	3704	1719
683	3711	1714
684	3719	1710
685	3727	1706
686	3735	1701
687	3743	1697
688	3750	1693
689	3758	1688
690	3766	1684
691	3773	1679
692	3781	1675
693	3788	1670
694	3795	1665
695	3803	1661
696	3812	1657
697	3820	1653
698	3828	1648
699	3835	1643
700	3843	1639
701	3850	1634
702	3858	1630
703	3865	1625
704	3873	1620
705	3880	1616
706	3888	1611
707	3895	1606
708	3902	1601
709	3909	1596
710	3917	1592
711	3924	1587
712	3931	1582
713	3939	1577
714	3946	1573
715	3954	1568
716	3961	1563
717	3969	1559
718	3977	1554
719	3984	1549
720	3992	1544
721	3999	1539
722	4007	1535
723	4015	1530
724	4022	1525
725	4029	1520
726	4038	1516
727	4046	1511
728	4053	1506
729	4064	1503
730	4073	1499
731	4082	1494
732	4090	1490
733	4097	1485
734	4105	1480
735	4112	1475
736	4120	1470
737	4128	1465
738	4135	1460
739	4143	1455
740	4151	1450
741	4159	1446
742	4167	1441
743	4174	1436
744	4182	1431
745	4191	1427
746	4199	1422
747	4207	1417
748	4215	1412
749	4223	1407
750	4230	1402
751	4238	1397
752	4245	1392
753	4253	1387
754	4260	1382
755	4269	1378
756	4277	1372
757	4284	1367
758	4293	1363
759	4302	1358
760	4309	1353
761	4318	1348
762	4326	1343
763	4334	1338
764	4342	1333
765	4351	1329
766	4359	1324
767	4367	1319
768	4374	1314
769	4383	1309
770	4392	1304
771	4399	1299
772	4407	1294
773	4415	1289
774	4423	1284
775	4431	1279
776	4440	1274
777	4450	1270
778	4461	1265
779	4470	1261
780	4479	1256
781	4489	1251
782	4495	1245
783	4502	1240
784	4508	1234
785	4513	1228
786	4519	1223
787	4524	1217
788	4530	1211
789	4535	1205
790	4540	1199
791	4545	1193
792	4551	1188
793	4561	1183
794	4567	1177
795	4573	1172
796	4579	1166
797	4584	1160
798	4590	1154
799	4596	1149
800	4601	1143
801	4607	1137
802	4613	1131
803	4619	1126
804	4625	1120
805	4631	1114
806	4637	1109
807	4643	1103
808	4648	1097
809	4654	1091
810	4661	1086
811	4667	1080
812	4673	1074
813	4678	1069
814	4684	1063
815	4690	1057
816	4695	1051
817	4701	1046
818	4707	1040
819	4713	1034
820	4720	1029
821	4726	1023
822	4732	1017
823	4738	1012
824	4743	1006
825	4750	1000
826	4755	994
827	4761	989
828	4768	983
829	4774	977
830	4780	972
831	4785	966
832	4791	960
833	4800	955
834	4806	949
835	4813	944
836	4819	938
837	4825	932
838	4832	927
839	4837	921
840	4843	915
841	4848	909
842	4854	904
843	4860	898
844	4865	892
845	4870	886
846	4876	880
847	4882	875
848	4887	869
849	4893	863
850	4898	857
851	4904	851
852	4909	846
853	4915	840
854	4921	834
855	4926	828
856	4932	822
857	4937	817
858	4943	811
859	4949	805
860	4955	799
861	4960	794
862	4965	788
863	4970	782
864	4975	776
865	4979	770
866	4984	764
867	4988	758
868	4992	752
869	4997	746
870	5002	740
871	5006	734
872	5010	728
873	5015	723
874	5019	717
875	5023	711
876	5028	705
877	5033	699
878	5037	693
879	5042	687
880	5047	681
881	5052	675
882	5057	670
883	5062	664
884	5067	658
885	5072	652
886	5078	646
887	5084	641
888	5090	635
889	5096	629
890	5103	624
891	5109	618
892	5116	613
893	5123	607
894	5130	601
895	5136	596
896	5143	590
897	5150	585
898	5156	579
899	5162	573
900	5170	568
901	5177	562
902	5184	556
903	5192	551
904	5199	545
905	5207	540
906	5215	534
907	5222	529
908	5230	523
909	5239	518
910	5247	512
911	5254	507
912	5261	501
913	5268	495
914	5276	490
915	5283	484
916	5291	478
917	5298	473
918	5307	467
919	5314	462
920	5323	456
921	5330	450
922	5338	445
923	5346	439
924	5353	434
925	5362	428
926	5371	423
927	5378	417
928	5387	411
929	5394	406
930	5402	400
931	5409	394
932	5416	389
933	5424	383
934	5433	377
935	5442	372
936	5451	366
937	5460	360
938	5470	355
939	5479	349
940	5487	344
941	5495	338
942	5502	332
943	5510	326
944	5518	321
945	5525	315
946	5533	309
947	5540	303
948	5548	298
949	5555	292
950	5562	286
951	5570	280
952	5577	275
953	5585	269
954	5592	263
955	5598	257
956	5606	251
957	5613	246
958	5620	240
959	5628	234
960	5635	228
961	5642	222
962	5650	217
963	5657	211
964	5664	205
965	5671	199
966	5679	193
967	5686	187
968	5694	182
969	5702	176
970	5710	170
971	5718	164
972	5725	158
973	5733	153
974	5741	147
975	5748	141
976	5756	135
977	5764	129
978	5772	123
979	5778	117
980	5786	112
981	5793	106
982	5800	100
983	5808	94
984	5817	88
985	5826	82
986	5835	76
987	5844	70
988	5852	65
989	5859	59
990	5866	53
991	5873	47
992	5881	41
993	5888	35
994	5897	29
995	5904	23
996	5911	17
997	5918	11
998	5926	5
999	5933	0
